,0
*special,0.03496911061895326
2-sat,0.0039631658701480355
binary search,0.11901153980650425
bitmasks,0.06341065392236857
brute force,0.18183937521855695
chinese remainder theorem,0.002214710339200373
combinatorics,0.07611609744725492
communication,0.0003496911061895326
constructive algorithms,0.19163072619186386
data structures,0.1876675603217158
dfs and similar,0.09733069122275323
divide and conquer,0.032404709173563355
dp,0.22904767455414385
dsu,0.037999766872595875
expression parsing,0.003263783657768971
fft,0.010723860589812333
flows,0.01457046275789719
games,0.027275906282783542
geometry,0.037999766872595875
graph matchings,0.00944165986711738
graphs,0.11096864436414501
greedy,0.32241519990674905
hashing,0.022963049306445972
implementation,0.27509033686909895
interactive,0.026693087772467653
math,0.3115747756148735
matrices,0.013288262035202237
meet-in-the-middle,0.004895675486653456
number theory,0.08171115514628745
probabilities,0.025294323347709525
schedules,0.0011656370206317753
shortest paths,0.026226832964214943
sortings,0.11329991840540855
string suffix structures,0.009325096165054203
strings,0.07425107821424408
ternary search,0.007110385825853829
trees,0.08858841356801492
two pointers,0.05816528732952558
